btc_return,current_token_price,eth_return,month,name,token/btc_return,token/eth_return,token_return,token_sale_price,usd_raised
0.67x,0.743,0.92x,Dec 2017,Sirin Labs,2.35x,1.72x,1.58x,0.47,157885825.0
3.54x,3.956,1.75x,Jun 2017,The Bancor Protocol,0.29x,0.59x,1.03x,3.857,153000000.0
1.26x,0.641,2.27x,Nov 2017,QASH,1.64x,0.91x,2.07x,0.309,108174500.0
3.46x,0.155,1.96x,Jun 2017,Status,1.25x,2.21x,4.32x,0.036,107664904.2
0.68x,0.669,0.51x,Jan 2018,Envion,1.22x,1.62x,0.83x,0.803,100012279.0
2.42x,0.0,2.44x,Sep 2017,Kin,0.98x,0.97x,2.37x,0.0,98500326.08
1.27x,0.663,2.37x,Nov 2017,COMSA,0.52x,0.28x,0.66x,1.0,95614242.43
3.61x,1.372,2.17x,Jun 2017,TenX,0.47x,0.79x,1.70x,0.805,83110818.4
0.87x,48.625,0.71x,Jan 2018,Elastos,6.29x,7.66x,5.45x,8.92,70644600.0
0.64x,0.469,0.95x,Dec 2017,BankEx,0.82x,0.56x,0.53x,0.882,70600000.0
0.95x,0.195,1.64x,Nov 2017,WAX,1.94x,1.12x,1.84x,0.106,68403200.0
0.48x,5.838,1.01x,Dec 2017,Nebulas,6.04x,2.89x,2.92x,2.0,60000000.0
0.82x,0.085,0.68x,Jan 2018,Zeepin,0.86x,1.05x,0.71x,0.12,59858852.06
0.65x,0.374,0.54x,Jan 2018,Olympus Labs,0.40x,0.47x,0.26x,1.462,58488300.0
2.30x,3.1,2.23x,Aug 2017,SALT,1.35x,1.39x,3.10x,1.0,54550040.5
4.09x,0.607,4.02x,May 2017,MobileGo,0.20x,0.20x,0.80x,0.758,53069235.0
0.53x,0.765,1.03x,Dec 2017,Naga Group,6.33x,3.28x,3.36x,0.227,50020960.0
0.63x,0.034,0.56x,Jan 2018,Swissborg,0.58x,0.65x,0.37x,0.093,50000000.0
0.86x,0.011,0.70x,Jan 2018,Odyssey,1.06x,1.30x,0.91x,0.013,50000000.0
0.57x,0.283,0.61x,Jan 2018,Neuromation,0.59x,0.56x,0.34x,0.833,50000000.0
2.40x,0.476,2.40x,Sep 2017,Centra,0.27x,0.27x,0.65x,0.731,49696100.0
2.60x,1.389,2.85x,Sep 2017,Kyber Network,1.50x,1.37x,3.89x,0.357,49304000.0
0.54x,0.441,0.67x,Jan 2018,Crypterium,3.67x,2.93x,1.97x,0.224,47000000.0
0.67x,1.733,0.92x,Dec 2017,INS Ecosystem,1.69x,1.23x,1.13x,1.532,45949800.0
1.48x,0.562,2.23x,Nov 2017,Gridplus,0.33x,0.22x,0.48x,1.164,45683674.26
2.26x,1.846,2.38x,Sep 2017,Enigma Catalyst,1.36x,1.29x,3.08x,0.6,45000000.0
2.41x,2.625,2.47x,Sep 2017,ICON,10.24x,9.98x,24.68x,0.106,42561000.0
1.95x,0.028,2.31x,Oct 2017,DomRaider,0.12x,0.10x,0.23x,0.12,42000000.0
1.16x,2.425,0.86x,Feb 2018,Fusion,1.03x,1.38x,1.19x,2.037,41710592.0
0.73x,0.883,0.61x,Jan 2018,Pundi X,1.24x,1.49x,0.90x,0.976,41700000.0
0.69x,0.538,0.91x,Jan 2018,Bloom,0.74x,0.56x,0.51x,1.049,41420705.0
1.57x,0.053,2.31x,Oct 2017,Electroneum,5.14x,3.49x,8.06x,0.007,40000000.0
1.03x,0.12,0.68x,Feb 2018,WePower,1.35x,2.05x,1.39x,0.086,40000000.0
1.21x,0.078,0.89x,Feb 2018,Datawallet,0.53x,0.73x,0.65x,0.12,40000000.0
0.82x,0.107,0.68x,Jan 2018,Mobius,0.89x,1.08x,0.73x,0.146,39000000.0
0.92x,1.601,1.57x,Nov 2017,Crypto20,1.74x,1.02x,1.60x,1.0,38222081.0
1.27x,0.116,2.37x,Nov 2017,Ripio,1.20x,0.64x,1.53x,0.076,37000000.0
2.00x,0.115,1.83x,Aug 2017,Monetha,0.32x,0.35x,0.64x,0.181,36388800.0
1.95x,0.25,2.31x,Oct 2017,AirSwap,0.53x,0.45x,1.04x,0.242,36266941.58
4.12x,0.273,3.04x,May 2017,Basic Attention Token,1.84x,2.49x,7.58x,0.036,36000000.0
0.68x,0.263,1.04x,Dec 2017,SingularityNET,3.55x,2.33x,2.42x,0.109,36000000.0
3.70x,0.147,1.89x,Jun 2017,SONM,0.38x,0.73x,1.39x,0.106,35000000.0
0.82x,0.019,0.68x,Jan 2018,TBIS,0.02x,0.03x,0.02x,1.0,35000000.0
1.03x,0.056,0.73x,Feb 2018,Republic Protocol,0.97x,1.37x,1.00x,0.056,33740700.0
1.53x,0.087,2.30x,Oct 2017,Ether Party,1.36x,0.91x,2.09x,0.042,33509680.0
3.36x,0.319,3.12x,Aug 2017,Stox,0.08x,0.09x,0.28x,1.127,33350320.0
1.65x,0.215,2.11x,Oct 2017,Request Network,1.96x,1.53x,3.23x,0.067,33338000.0
3.48x,0.289,2.09x,Jun 2017,Civic,0.83x,1.38x,2.89x,0.1,33000000.0
1.59x,0.268,2.45x,Oct 2017,Unikoingold,0.67x,0.43x,1.06x,0.253,32345170.72
1.57x,0.398,2.38x,Oct 2017,Ambrosus,1.14x,0.75x,1.79x,0.223,32229228.25
1.14x,0.1,1.84x,Nov 2017,CyberMiles,1.92x,1.19x,2.19x,0.046,32030392.9
2.40x,0.486,2.48x,Sep 2017,ChainLink,2.21x,2.14x,5.31x,0.091,32000000.0
0.53x,0.583,1.03x,Dec 2017,Bread,3.63x,1.88x,1.93x,0.302,32000000.0
1.39x,1.906,2.41x,Nov 2017,Raiden Network,2.14x,1.24x,2.98x,0.639,31949389.08
3.62x,2.834,2.61x,Jul 2017,Polybius,0.09x,0.13x,0.33x,8.669,31645088.0
0.54x,0.051,0.67x,Jan 2018,Hydro,1.19x,0.95x,0.64x,0.08,31250400.0
0.60x,0.246,0.72x,Jan 2018,Trade io,0.86x,0.72x,0.52x,0.474,31169749.0
1.17x,0.168,1.98x,Nov 2017,Quantstamp,2.45x,1.45x,2.87x,0.059,30831930.0
4.28x,0.959,4.38x,May 2017,Storj,0.45x,0.44x,1.92x,0.5,30000000.0
2.43x,0.0,2.53x,Sep 2017,Blackmoon Crypto,,,,1.0,30000000.0
1.67x,0.079,2.07x,Oct 2017,Streamr,1.02x,0.82x,1.70x,0.046,30000000.0
0.84x,0.346,0.67x,Jan 2018,Jibrel Network,1.64x,2.08x,1.38x,0.25,30000000.0
0.57x,0.028,1.54x,Dec 2017,Universa,5.70x,2.11x,3.24x,0.009,28800060.0
3.70x,6.538,1.89x,Jun 2017,Monaco,0.62x,1.22x,2.30x,2.844,26954906.3
1.97x,0.949,2.36x,Oct 2017,Paypie,1.48x,1.24x,2.93x,0.324,26765100.0
2.00x,1.662,1.83x,Aug 2017,Everex,0.52x,0.57x,1.04x,1.599,26383026.28
2.16x,0.432,2.27x,Oct 2017,Power Ledger,1.83x,1.73x,3.94x,0.11,26356589.15
3.48x,0.044,2.09x,Jun 2017,Funfair,1.76x,2.94x,6.14x,0.007,26000000.0
0.95x,0.025,1.64x,Nov 2017,Bitclave,0.31x,0.18x,0.30x,0.085,25547000.0
1.46x,1.894,2.30x,Oct 2017,Eidoo,0.55x,0.35x,0.80x,2.353,25196048.3
3.35x,0.078,3.64x,Jul 2017,Tierion,0.33x,0.30x,1.10x,0.072,25040172.0
5.12x,3.636,7.81x,May 2017,Aragon,0.95x,0.63x,4.89x,0.744,25000000.0
3.64x,13.581,2.31x,Jun 2017,Omise GO,11.45x,18.00x,41.66x,0.326,25000000.0
2.17x,0.084,2.33x,Aug 2017,Decentraland,1.29x,1.21x,2.81x,0.03,25000000.0
0.73x,0.002,0.98x,Dec 2017,Telcoin,3.18x,2.37x,2.31x,0.001,25000000.0
3.34x,2.469,2.49x,Jun 2017,Aeternity - Phase 2,2.61x,3.49x,8.71x,0.284,24990653.1
0.64x,0.044,0.93x,Dec 2017,BitDegree,0.96x,0.66x,0.62x,0.072,24114880.0
2.15x,0.641,2.32x,Aug 2017,0X,6.21x,5.75x,13.36x,0.048,24000000.0
1.03x,0.151,0.68x,Feb 2018,Medicalchain,1.08x,1.63x,1.10x,0.137,24000000.0
0.49x,0.366,0.98x,Dec 2017,SophiaTX,1.56x,0.79x,0.77x,0.478,23470356.5
0.92x,0.137,0.63x,Jan 2018,IUNGO,0.26x,0.38x,0.24x,0.575,23000000.0
1.46x,0.132,2.30x,Oct 2017,Enjin Coin,2.90x,1.84x,4.22x,0.031,22953541.08
0.62x,0.038,0.73x,Jan 2018,Zilliqa,17.36x,14.76x,10.76x,0.003,22000000.0
4.23x,0.566,3.63x,Jul 2017,Pillar,1.38x,1.61x,5.85x,0.097,21986902.45
0.66x,0.011,0.50x,Jan 2018,Selfkey,1.54x,2.01x,1.01x,0.011,21780000.0
2.60x,0.078,2.85x,Sep 2017,KickICO,0.64x,0.58x,1.65x,0.047,21579621.24
0.81x,0.046,0.67x,Jan 2018,Fortuna,1.05x,1.27x,0.85x,0.054,21500000.0
1.70x,0.046,2.35x,Oct 2017,BlockV,4.57x,3.31x,7.80x,0.006,21478865.01
1.15x,0.165,1.91x,Nov 2017,UTRUST,2.86x,1.72x,3.28x,0.05,21375000.0
0.92x,0.206,1.57x,Nov 2017,Simple Token,2.79x,1.64x,2.57x,0.08,20937267.08
0.68x,0.109,1.04x,Dec 2017,QLINK,1.87x,1.23x,1.28x,0.086,20560900.0
3.28x,1.045,3.44x,Jul 2017,Giga Watt,0.32x,0.30x,1.04x,1.0,20218239.0
2.05x,1.456,2.10x,Sep 2017,Aventus,0.21x,0.21x,0.44x,3.343,20060400.0
